"userId","movieId","rating","timestamp"
1,2,3.5,2005-04-02 23:53:47
1,29,3.5,2005-04-02 23:31:16
1,32,3.5,2005-04-02 23:33:39
1,47,3.5,2005-04-02 23:32:07
1,50,3.5,2005-04-02 23:29:40
1,112,3.5,2004-09-10 03:09:00
1,151,4,2004-09-10 03:08:54
1,223,4,2005-04-02 23:46:13
1,253,4,2005-04-02 23:35:40
1,260,4,2005-04-02 23:33:46
1,293,4,2005-04-02 23:31:43
1,296,4,2005-04-02 23:32:47
1,318,4,2005-04-02 23:33:18
1,337,3.5,2004-09-10 03:08:29
4,2,3.5,2005-04-02 23:53:47
2,1214,5,2000-11-21 15:36:54
14999,590,5,1996-06-10 20:45:15
3,337,3,1999-12-11 13:36:06
